Issuer,ISIN,currency,Moody__Rating,country,annc_date,amt,yield_issue,coupon,ROA,at,moody_21,leverage,investment_grade,sic_str,industry_sector,ROA_impute,at_impute,leverage_impute,ROA_missing,at_missing,leverage_missing,issue_dt1,mat_dt1,issue_year,duration,amt_log,at_log,greenid,country_AS,country_AU,country_AZ,country_BA,country_BE,country_BH,country_BL,country_BR,country_BS,country_BU,country_BV,country_CA,country_CB,country_CC,country_CE,country_CH,country_CI,country_CO,country_CY,country_DN,country_EA,country_EC,country_FN,country_FR,country_GA,country_GE,country_GG,country_GR,country_HK,country_HU,country_IC,country_ID,country_IM,country_IN,country_IR,country_IS,country_IT,country_JE,country_JO,country_JP,country_KU,country_KZ,country_LE,country_LI,country_LS,country_LV,country_LX,country_LY,country_MA,country_MI,country_MO,country_MT,country_MV,country_MX,country_NI,country_NO,country_NT,country_NZ,country_OM,country_PA,country_PE,country_PH,country_PL,country_PO,country_PR,country_QA,country_RU,country_SA,country_SD,country_SG,country_SK,country_SL,country_SP,country_SV,country_SW,country_SZ,country_TG,country_TH,country_TK,country_TW,country_UA,country_UE,country_UK,country_UR,country_US,country_VT,country_WG,industry_sector_Educational Services,"industry_sector_Engineering, Management, Research","industry_sector_Finance, Insurance, Real Estate",industry_sector_Investment & Holding Companies,industry_sector_Legal Services,industry_sector_Manufacturing,industry_sector_Other,industry_sector_Public Administration,industry_sector_Real Estate,industry_sector_Retail Trade,industry_sector_Services,industry_sector_Transportation & Utilities,industry_sector_Wholesale Trade,propensity_score
Raiffeisen Bk Intl Ag,AT000B015086,US,NR,AS,2020-11-09,50.0,0.6,0.6,0.46,,,26.86348913211884,0,6000.0,"Finance, Insurance, Real Estate",0.46,1000244.3,26.86348913211884,0,1,0,2020-12-11,2023-12-11,2020,3.0,3.912023005428146,13.815754828127888,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.12037574940683851
ASE Technology Holding Co Ltd,TW000F154018,US,NR,TW,2019-09-27,200.0,2.15,2.15,3.0,667565.3,,42.84453896896856,0,3674.0,Manufacturing,3.0,667565.3,42.84453896896856,0,0,0,2019-10-03,2022-10-03,2019,3.0027397260273974,5.298317366548036,13.411392492187078,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.009406699249670601
ASE Technology Holding Co Ltd,TW000F154026,US,NR,TW,2019-09-27,100.0,2.5,2.5,3.0,667565.3,,42.84453896896856,0,3674.0,Manufacturing,3.0,667565.3,42.84453896896856,0,0,0,2019-10-03,2024-10-03,2019,5.005479452054795,4.605170185988092,13.411392492187078,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.008436890983046143
AES Corp,US00130HCD52,US,Baa1,US,2020-11-19,800.0,1.386,1.375,0.13,32554.0,14.0,58.592437593940645,1,4911.0,Transportation & Utilities,0.13,32554.0,58.592437593940645,0,0,0,2020-12-04,2026-01-15,2020,5.117808219178082,6.684611727667927,10.390655527951443,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.03082022798294773
AES Corp,US00130HCF01,US,Baa1,US,2020-11-19,1000.0,2.454,2.45,0.13,32554.0,14.0,58.592437593940645,1,4911.0,Transportation & Utilities,0.13,32554.0,58.592437593940645,0,0,0,2020-12-04,2031-01-15,2020,10.12054794520548,6.907755278982137,10.390655527951443,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.021043876525979024
Adani Green Energy Ltd,US00653XAA54,US,Ba3,IN,2021-09-01,750.0,4.375,4.375,1.56,586050.0,9.0,91.45158907287313,0,4911.0,Transportation & Utilities,1.56,586050.0,91.45158907287313,0,0,0,2021-09-08,2024-09-08,2021,3.0027397260273974,6.620073206530356,13.281160389151326,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.02036273588090147
Alexandria RE Equities Inc,US015271AM12,US,Baa2,US,2018-06-12,450.0,4.014,4.0,2.17,30219.4,13.0,43.78763298287212,1,6798.0,Investment & Holding Companies,2.17,30219.4,43.78763298287212,0,0,0,2018-06-21,2024-01-15,2018,5.572602739726028,6.1092475827643655,10.31623938122857,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.046350400471320184
Alexandria RE Equities Inc,US015271AP43,US,Baa1,US,2019-03-12,350.0,3.817,3.8,2.51,30219.4,14.0,40.39751123401314,1,6798.0,Investment & Holding Companies,2.51,30219.4,40.39751123401314,0,0,0,2019-03-21,2026-04-15,2019,7.073972602739726,5.857933154483459,10.31623938122857,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.04864470452955146
Alexandria RE Equities Inc,US015271AW93,US,Baa1,US,2021-02-03,900.0,2.031,2.0,3.29,30219.4,14.0,37.41474248616824,1,6798.0,Investment & Holding Companies,3.29,30219.4,37.41474248616824,0,0,0,2021-02-18,2032-05-18,2021,11.252054794520548,6.802394763324311,10.31623938122857,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.07079490004534164
Analog Devices Inc,US032654AS42,US,Baa1,US,2020-04-06,400.0,3.06,2.95,5.61,50054.8,14.0,28.224621768563253,1,3674.0,Manufacturing,5.61,50054.8,28.224621768563253,0,0,0,2020-04-08,2025-04-01,2020,4.983561643835617,5.991464547107982,10.820873684240768,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.008026949180471853
